title;slug;price;desc;benefits;category;image;price_main;price_extra;price_diagnostics;warranty_text;related_brands;faq_title;faq;Focus Keyword;SEO Title;Meta Description;Meta Keywords;Facebook Title;Twitter Title
Замена линз в фарах;ustanovka-linz-xenon-biled;8500;Меняем выгоревшие линзы на модули Xenon или Bi-LED.;Гарантия 2 года на модули;Тюнинг фар;https://ksenonspb.ru/wp-content/uploads/2018/05/e84.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Замена линз Bi-LED / Xenon::от 8 500 ₽ / шт.::2-3 ч::2 года|Калибровка светового пучка::входит в стоимость::30 мин::-|Герметизация и сборка::входит в стоимость::1 ч::1 год;Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-|Покраска масок и декоративных элементов::от 2 000 ₽::+1 день::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;Сколько времени занимает замена линз в фарах?::Базовые работы по линзам — обычно 2–4 часа на фару.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 8 500 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.;установка линз;Установка линз (Xenon/Bi-LED) в СПб — от 8 500 ₽ | КБ АВТО;Меняем выгоревшие линзы на модули Xenon или Bi-LED. Цена от 8 500 ₽. КБ АВТО, Санкт-Петербург.;установка линз, установка линз спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Установка линз (Xenon/Bi-LED) в СПб — от 8 500 ₽ | КБ АВТО;Установка линз (Xenon/Bi-LED) в СПб — от 8 500 ₽ | КБ АВТО
Установка лазерных (Laser) линз;lazernye-linzy;35000;Топовые лазерные модули с дальним светом до 600 м. Для тех, кто хочет максимум.;Дальний свет в 3+ ярче штатного;Тюнинг фар;https://ksenonspb.ru/wp-content/uploads/2023/03/A0uDlazmT8Im_nUrRIfPLQVxYZs-960.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Установка лазерных модулей::от 35 000 ₽ / шт.::3-5 ч::2 года|Калибровка светового пучка::входит в стоимость::30 мин::-|Герметизация и сборка::входит в стоимость::1 ч::1 год;Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-|Покраска масок и декоративных элементов::от 2 000 ₽::+1 день::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|LEXUS|PORSCHE|Land Rover|JAGUAR|INFINITI|Maserati|BENTLEY;Частые вопросы;Сколько времени занимает установка лазерных?::Установка лазерных модулей — обычно 3–5 часов.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 35 000 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.;установка лазерных;Установка лазерных (Laser) линз в СПб — от 35 000 ₽ | КБ АВ…;Топовые лазерные модули с дальним светом до 600 м. Для тех, кто хочет максимум. Цена от 35 000 ₽. КБ АВТО, Санкт-Петербург.;установка лазерных, установка лазерных спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Установка лазерных (Laser) линз в СПб — от 35 000 ₽ | КБ АВ…;Установка лазерных (Laser) линз в СПб — от 35 000 ₽ | КБ АВ…
Полировка и шлифовка фар;polirovka-shlifovka;2500;Глубокая шлифовка и полировка — возвращаем прозрачность без замены стекла.;Как новые, Без замены стекла;Оптика и корпус;https://ksenonspb.ru/wp-content/uploads/2016/09/polish-1.jpg;Шлифовка и полировка стекла::от 2 500 ₽::1-2 ч::6 мес.|Защитное покрытие::входит в стоимость::30 мин::-;Полировка изнутри (при разборке)::от 1 500 ₽::+1 ч::1 год|Устранение глубоких царапин::от 1 000 ₽::+1 ч::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;Сколько времени занимает полировка и шлифовка фар?::Обычно 1–2 часа на пару фар.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 2 500 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.;полировка и шлифовка фар;Полировка и шлифовка фар в СПб — от 2 500 ₽ | КБ АВТО;Глубокая шлифовка и полировка — возвращаем прозрачность без замены стекла. Цена от 2 500 ₽. КБ АВТО, Санкт-Петербург.;полировка и шлифовка фар, полировка и шлифовка фар спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Полировка и шлифовка фар в СПб — от 2 500 ₽ | КБ АВТО;Полировка и шлифовка фар в СПб — от 2 500 ₽ | КБ АВТО
Ремонт фар;remont-posle-povrezhdeniy;2500;Восстанавливаем фары после ДТП, заливов и выгорания LED. От галогена до лазерных модулей.;Дешевле замены в 5-10 раз;Оптика и корпус;https://ksenonspb.ru/wp-content/uploads/2018/05/e90.jpg;Диагностика и оценка объёма работ::Входит в стоимость::30 мин::-|Ремонт / восстановление фары::от 2 500 ₽::от 2 ч::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-|Покраска масок и декоративных элементов::от 2 000 ₽::+1 день::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает ремонт фар?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 2 500 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";ремонт фар;Ремонт фар (комплексный) в СПб — от 2 500 ₽ | КБ АВТО;Восстанавливаем фары после ДТП, заливов и выгорания LED. От галогена до лазерных модулей. Цена от 2 500 ₽. КБ АВТО, Санкт-Петербург.;ремонт фар, ремонт фар спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Ремонт фар (комплексный) в СПб — от 2 500 ₽ | КБ АВТО;Ремонт фар (комплексный) в СПб — от 2 500 ₽ | КБ АВТО
Замена стёкол фар;zamena-stekol;5000;Демонтируем треснувшее или мутное стекло, устанавливаем новое с герметизацией корпуса.;Не запотеет;Оптика и корпус;https://ksenonspb.ru/wp-content/uploads/2016/08/img_6069.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Замена стекла фары::от 5 000 ₽::2-4 ч::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-|Покраска масок и декоративных элементов::от 2 000 ₽::+1 день::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает замена стёкол фар?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 5 000 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";замена стёкол фар;Замена стёкол фар в СПб — от 5 000 ₽ | КБ АВТО;Демонтируем треснувшее или мутное стекло, устанавливаем новое с герметизацией корпуса. Цена от 5 000 ₽. КБ АВТО, Санкт-Петербург.;замена стёкол фар, замена стёкол фар спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Замена стёкол фар в СПб — от 5 000 ₽ | КБ АВТО;Замена стёкол фар в СПб — от 5 000 ₽ | КБ АВТО
Устранение запотевания фар;ustranenie-zapotevaniya;3500;Диагностируем причину, переклеиваем корпус по заводским технологиям.;Гарантия от запотевания 1 год;Оптика и корпус;https://ksenonspb.ru/wp-content/uploads/2016/09/misted-1.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Устранение запотевания и просушка::от 3 500 ₽::2-3 ч::1 год|Замена уплотнителя / клапанов::входит в стоимость::30 мин::-|Герметизация и сборка::входит в стоимость::1 ч::1 год;Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает устранение запотевания фар?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 3 500 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";устранение запотевания фар;Устранение запотевания фар в СПб — от 3 500 ₽ | КБ АВТО;Диагностируем причину, переклеиваем корпус по заводским технологиям. Цена от 3 500 ₽. КБ АВТО, Санкт-Петербург.;устранение запотевания фар, устранение запотевания фар спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Устранение запотевания фар в СПб — от 3 500 ₽ | КБ АВТО;Устранение запотевания фар в СПб — от 3 500 ₽ | КБ АВТО
Установка Bi-LED (светодиодных) линз;ustanovka-biled;8500;Переходим на качественный диодный свет. Ярче ксенона, без слепящего встречного потока.;Срок службы до 50 000 ч;Тюнинг фар;https://ksenonspb.ru/wp-content/uploads/2016/09/biled.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Замена линз Bi-LED / Xenon::от 8 500 ₽ / шт.::2-3 ч::2 года|Калибровка светового пучка::входит в стоимость::30 мин::-|Герметизация и сборка::входит в стоимость::1 ч::1 год;Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-|Покраска масок и декоративных элементов::от 2 000 ₽::+1 день::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;Сколько времени занимает установка bi-led?::Базовые работы по линзам — обычно 2–4 часа на фару.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 8 500 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.;установка bi-led линз;Установка Bi-LED линз в СПб — от 8 500 ₽ | КБ АВТО;Переходим на качественный диодный свет. Ярче ксенона, без слепящего встречного потока. Цена от 8 500 ₽. КБ АВТО, Санкт-Петербург.;установка bi-led линз, установка bi-led линз спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Установка Bi-LED линз в СПб — от 8 500 ₽ | КБ АВТО;Установка Bi-LED линз в СПб — от 8 500 ₽ | КБ АВТО
Установка ксенона;ustanovka-ksenona;5000;Монтируем штатные ксеноновые комплекты с правильной фокусировкой и герметизацией.;Штатное решение, Гарантия;Тюнинг фар;https://ksenonspb.ru/wp-content/uploads/2016/09/xenon.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Установка ксенонового комплекта::от 5 000 ₽::2-4 ч::1 год|Калибровка светового пучка::входит в стоимость::30 мин::-|Герметизация и сборка::входит в стоимость::1 ч::1 год;Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-|Покраска масок и декоративных элементов::от 2 000 ₽::+1 день::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает установка ксенона?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 5 000 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";установка ксенона;Установка ксенона (штатные комплекты) в СПб — от 5 000 ₽ |…;Монтируем штатные ксеноновые комплекты с правильной фокусировкой и герметизацией. Цена от 5 000 ₽. КБ АВТО, Санкт-Петербург.;установка ксенона, установка ксенона спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Установка ксенона (штатные комплекты) в СПб — от 5 000 ₽ |…;Установка ксенона (штатные комплекты) в СПб — от 5 000 ₽ |…
Замена штатных линз на оригинал или аналог;zamena-shtatnyh-linz;6000;Меняем заводские линзы на оригинал или проверенный аналог с настройкой света.;Оригинал или аналог;Тюнинг фар;https://ksenonspb.ru/wp-content/uploads/2020/03/nCAAAgMzVeA-19201-1.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Замена линз Bi-LED / Xenon::от 6 000 ₽ / шт.::2-3 ч::2 года|Калибровка светового пучка::входит в стоимость::30 мин::-|Герметизация и сборка::входит в стоимость::1 ч::1 год;Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-|Покраска масок и декоративных элементов::от 2 000 ₽::+1 день::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;Сколько времени занимает замена штатных линз на оригинал или аналог?::Базовые работы по линзам — обычно 2–4 часа на фару.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 6 000 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.;замена штатных линз на оригинал/аналог;Замена штатных линз на оригинал/аналог в СПб — от 6 000 ₽ |…;Меняем заводские линзы на оригинал или проверенный аналог с настройкой света. Цена от 6 000 ₽. КБ АВТО, Санкт-Петербург.;замена штатных линз на оригинал/аналог, замена штатных линз на оригинал/аналог спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Замена штатных линз на оригинал/аналог в СПб — от 6 000 ₽ |…;Замена штатных линз на оригинал/аналог в СПб — от 6 000 ₽ |…
Тюнинг подсветки — Ангельские и Дьявольские глазки;angelskie-dyavolskie-glazki;2500;Устанавливаем ангельские и дьявольские глазки с аккуратной проводкой и герметизацией.;Индивидуальный дизайн;Тюнинг фар;https://ksenonspb.ru/wp-content/uploads/2020/03/2SAAAgFshOA-19201.jpg;Демонтаж фары и разборка корпуса::Входит в стоимость::1-2 ч::-|Установка / изготовление подсветки::от 2 500 ₽::3-8 ч::1 год|Герметизация и сборка::входит в стоимость::1 ч::1 год;Полировка стекла изнутри::от 1 500 ₽::+1 ч::1 год|Замена уплотнителя корпуса::от 800 ₽::+30 мин::-|Покраска масок и декоративных элементов::от 2 000 ₽::+1 день::-;Осмотр и заключение по фаре::Бесплатно::30 мин::-;Гарантия распространяется на установленные компоненты и герметизацию. Предоплата не требуется. Все работы фиксируются в договоре — вы забираете автомобиль с письменной гарантией.;BMW|MERCEDES|AUDI|TOYOTA|LEXUS|Volkswagen|KIA|Hyundai|NISSAN|FORD|HONDA|MAZDA|Skoda|Land Rover;Частые вопросы;"Сколько времени занимает тюнинг подсветки?::Срок зависит от объёма работ; точное время скажем после осмотра.|Какая гарантия на работы?::На установленные компоненты и герметизацию даём письменную гарантию. Срок по позициям указан в таблице цен.|Нужна ли предварительная запись?::Да, работы выполняем по записи. Осмотр и заключение по фаре — бесплатно.|От чего зависит итоговая цена?::На стоимость влияют состояние оптики, марка и модель автомобиля, а также дополнительные работы (полировка изнутри, уплотнители и т.п.). Ориентир по цене — от 2 500 ₽.|Нужна ли разборка фары?::В большинстве случаев да — для качественного результата фару снимаем и разбираем. Демонтаж обычно входит в стоимость основных работ.";тюнинг подсветки;Тюнинг подсветки (Ангельские/Дьявольские глазки) в СПб — от…;Устанавливаем ангельские и дьявольские глазки с аккуратной проводкой и герметизацией. Цена от 2 500 ₽. КБ АВТО, Санкт-Петербург.;тюнинг подсветки, тюнинг подсветки спб, ремонт фар СПб, тюнинг оптики СПб, КБ АВТО;Тюнинг подсветки (Ангельские/Дьявольские глазки) в СПб — от…;Тюнинг подсветки (Ангельские/Дьявольские глазки) в СПб — от…
